% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 55.70 s, time offset 27.85 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2022-09-09 T 13:04:18 -0400
% Time (s), Channel A (V), Channel B (V)
6.5865650400e-01, -5.3502405626e-04, 1.9900403000e+00
6.6206923200e-01, 2.4186018982e-04, 1.9885011897e+00
6.6548196000e-01, 1.3705410756e-03, 1.9880834312e+00
6.6889468800e-01, 3.8111302638e-04, 1.9874311416e+00
6.7230741600e-01, 7.0359327947e-04, 1.9905606659e+00
6.7572014400e-01, 5.1303676628e-04, 1.9886917462e+00
6.7913287200e-01, 1.3851992690e-03, 1.9888969609e+00
6.8254560000e-01, 1.7076795220e-03, 1.9870866741e+00
6.8595832800e-01, 1.0480608225e-03, 1.9869327630e+00
6.8937105600e-01, 8.2085882605e-04, 1.9889189482e+00
6.9278378400e-01, 8.2818792271e-04, 1.9884938606e+00
6.9619651200e-01, 1.3265664957e-03, 1.9885964680e+00
6.9960924000e-01, 1.5537684922e-03, 1.9867275483e+00
7.0302196800e-01, 1.1873136591e-03, 1.9872479142e+00
7.0643469600e-01, 1.4658193322e-04, 1.9903994257e+00
7.0984742400e-01, 5.8632773289e-04, 1.9888896318e+00
7.1326015200e-01, 1.1946427558e-03, 1.9884792024e+00
7.1667288000e-01, 1.1873136591e-03, 1.9866395992e+00
7.2008560800e-01, 4.6173308965e-04, 1.9879148620e+00
7.2349833600e-01, -9.0147888932e-04, 1.9900916037e+00
7.2691106400e-01, 1.1726554658e-04, 1.9886037971e+00
7.3032379200e-01, 1.1799845624e-03, 1.9883179623e+00
7.3373652000e-01, 8.0620063272e-04, 1.9862951316e+00
7.3714924800e-01, -7.3290966611e-05, 1.9882080258e+00
7.4056197600e-01, -5.7899863623e-04, 1.9896005542e+00
7.4397470400e-01, 3.5179663973e-04, 1.9883546078e+00
7.4738743200e-01, 2.0155015818e-03, 1.9880394566e+00
7.5080016000e-01, 1.8322741653e-03, 1.9865736373e+00
7.5421288800e-01, 1.1066935958e-03, 1.9887210626e+00
7.5762561600e-01, 2.4918928648e-04, 1.9897471361e+00
7.6103834400e-01, 1.3485537856e-03, 1.9875337490e+00
7.6445107200e-01, 1.7443250053e-03, 1.9868448139e+00
7.6786380000e-01, 3.8111302638e-04, 1.9857014748e+00
7.7127652800e-01, 1.6856922321e-04, 1.9882813168e+00
